particle charge	B0	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	relative error min	relative error max	min radius	max radius
16	-468.2969462428611	-251.591139262604	-28.58276037443011	4.293593149423543	0.3219559971279728	-0.1249391705355127	0.007006731803357637	0.002205472809533835	-0.0004643554560558076	-9.495894580410023e-06	1.575818609816923e-05	1.258738677520811e-06	7.050838579658603e-09	6.044869855115209e-06	8.096924692009039e-07	1e-05
17	-587.2601935943467	-344.2557543635755	-50.06663166129085	4.463557494112385	0.8177623263352651	-0.1514611946576565	-0.00433010101510735	0.003790604330311876	-0.0002341677725248258	-6.821760071012119e-05	4.916682719325949e-06	7.800423452254003e-07	7.034189697385784e-08	2.743158684093139e-06	1.007508658072544e-06	1e-05
18	-618.6053024432325	-367.1298101740402	-54.66906377973493	4.688909368441514	0.9281850487434014	-0.1634558709841525	-0.006484163641605016	0.004299624025047208	-0.0002032401821482356	-8.488175119705399e-05	2.814104289871243e-06	7.197735195033497e-07	4.831506972280408e-08	1.981553780616707e-06	1.123862370908758e-06	1e-05
19	-446.3464924303348	-227.6965582467928	-20.43868063641674	4.763770743193855	0.111413010252815	-0.1309398433945345	0.01386718546348489	0.001830664121613951	-0.0006683107803034135	1.650639156140283e-05	2.451322615109985e-05	1.796735217604111e-06	4.466421033022527e-08	4.017437002845625e-06	1.253653374216174e-06	1e-05
20	-452.4279764901041	-230.2808561693639	-20.24193890426887	4.911921329513374	0.09653026112895183	-0.1350366567315658	0.01490083903692822	0.001852795507778499	-0.0007110459988138872	1.977552416948513e-05	2.639055745988092e-05	1.930171008743674e-06	2.141680521816625e-08	3.170791508244619e-06	1.398433494496983e-06	1e-05
21	-458.403356890924	-232.7514934955846	-20.00754495977019	5.060575144101498	0.08013804120170301	-0.1390942245708529	0.0159945312487927	0.001868166634911846	-0.0007558919448649739	2.34673889332877e-05	2.839179450741716e-05	2.071362064643394e-06	5.680035064514755e-08	2.46549684967956e-06	1.559933773363597e-06	1e-05
22	-464.059309399265	-233.6650489692174	-18.96733336704796	5.270608399242965	0.0367950491056194	-0.1437692462370631	0.01809926162687719	0.001806574709366221	-0.0008321832226562218	3.231437475648855e-05	3.189761284121159e-05	2.299515668604459e-06	3.491201672201072e-08	1.696791162020261e-06	1.941041620696654e-06	1e-05
23	-471.7997340666893	-237.0028434407906	-18.75303873761844	5.446870906052483	0.01683269504515203	-0.1485078682999759	0.01946878489125848	0.001811169764195383	-0.0008884642441409807	3.762198604223628e-05	3.449642555744848e-05	2.479287597307497e-06	1.901417534533323e-08	1.394912257701719e-06	2.165205847503143e-06	1e-05
24	-479.7531362312934	-240.4038971473479	-18.51442632036238	5.628414884515685	-0.004896123022580785	-0.1533362764238102	0.02093587951705311	0.001807942347017433	-0.0009486059701292183	4.361829384937547e-05	3.731876730486878e-05	2.673301858531356e-06	5.232225475104713e-08	1.140742050043109e-06	2.41525803057186e-06	1e-05
25	-487.6104352039013	-243.6906709582141	-18.23324375194759	5.81081182981824	-0.02857829472549795	-0.1581079718327843	0.0224892893454839	0.001793818665463195	-0.001011973741674548	5.034716159700762e-05	4.034955489430309e-05	2.880244685416025e-06	5.840068417750643e-08	9.860905740843862e-07	2.694187881013186e-06	1e-05
